127,163,255,102,94,87
127,165,255,102,93,87
127,164,255,101,92,86
127,166,254,102,94,89
127,165,254,104,96,91
126,165,255,98,90,86
127,164,255,101,92,86
126,167,254,95,89,86
127,165,255,102,93,87
126,166,255,93,87,85
127,164,255,101,92,86
127,165,255,102,93,87
127,163,255,102,94,87
126,165,255,98,90,86
127,166,254,102,94,89
127,165,254,104,96,91
127,166,254,102,94,89
127,163,255,102,94,87
127,165,255,102,93,87
127,167,253,106,100,94
127,165,255,102,93,87
127,164,255,101,92,86
127,163,255,102,94,87
127,166,254,102,94,89
126,165,255,98,90,86
127,167,253,106,100,94
127,165,254,104,96,91
127,166,254,102,94,89
127,163,255,102,94,87
127,165,255,102,93,87
126,166,255,93,87,85
126,167,255,91,86,84
126,167,254,95,89,86
126,165,255,98,90,86
127,164,255,101,92,86
126,167,254,95,89,86
126,166,255,93,87,85
126,165,255,98,90,86
126,167,255,91,86,84
127,164,255,101,92,86
126,167,255,91,86,84
126,166,255,93,87,85
126,167,254,95,89,86
126,165,255,98,90,86
127,164,255,101,92,86
127,166,254,102,94,89
127,165,255,102,93,87
127,165,254,104,96,91
127,163,255,102,94,87
127,164,255,101,92,86
